http://cloc.sourceforge.net v 1.60  T=1.26 s (236.2 files/s, 34733.3 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                          blank        comment           code
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\GenerateLayer.as                           15             20             69
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowModelChoice.as                                                   14             40             69
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\index-list.html                                            52              1             68
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Projectile.as                                                   23             56             66
C:\dev\VoxelVerse\src\com\voxelengine\utils\transitions\properties\DisplayShortcuts.as                           27             68             66
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowSplash.as                                                        16              3             65
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-I.html                                            0              7             65
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-D.html                                            0              7             64
C:\dev\VoxelVerse\src\com\voxelengine\events\ProjectileEvent.as                                                  10             17             64
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\AnimationSound.as                                               10             17             62
C:\dev\VoxelVerse\src\com\voxelengine\pools\OxelPool.as                                                          17              9             61
C:\dev\VoxelVerse\src\com\voxelengine\GUI\ShapeSelector.as                                                        9             16             61
C:\dev\VoxelVerse\src\com\voxelengine\renderer\shaders\ShaderOxel.as                                             18             60             60
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowChangeType.as                                                    16             10             60
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Bomb.as                                                         12             13             60
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\flowtasks\CheckForFlow.as                                 15             20             59
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\flowtasks\EmptySphere.as                                  15             20             59
C:\dev\VoxelVerse\src\com\voxelengine\utils\DisplayConverter.as                                                  29             36             58
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Gun.as                                                           8             15             57
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-R.html                                            0              7             57
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-T.html                                            0              7             57
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Attribute.as                                                     8             30             57
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-E.html                                            0              7             57
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-N.html                                            0              7             56
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestZBuffer.as                                      10             15             56
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestFlowSingleOxelFaces.as                           9             15             55
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\CollisionTest.as                                                13              5             54
C:\dev\VoxelVerse\src\com\voxelengine\utils\transitions\properties\CurveModifiers.as                             15             41             53
C:\dev\VoxelVerse\src\com\voxelengine\utils\PreciseEventTimer.as                                                 18              0             51
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\scripts\ControlObjectScript.as                                   9              8             51
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestFlowFlashOxel.as                                 9             13             51
C:\dev\VoxelVerse\src\com\voxelengine\utils\transitions\PropertyInfoObj.as                                       11             29             50
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-B.html                                            0              7             50
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-M.html                                            0              7             50
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\scripts\ControlBeastScript.as                                    9              8             50
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-U.html                                            0              7             50
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestError.as                                         8             15             49
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestGrain0inCorner.as                               10             15             49
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestFlowRemoveCircular.as                            9             13             49
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-F.html                                            0              7             49
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\LandscapeError.as                           8             15             49
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-P.html                                            0              7             49
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-W.html                                            0              7             49
C:\dev\VoxelVerse\src\com\voxelengine\events\ModelEvent.as                                                       17             11             49
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\GenerateWater.as                           23             73             48
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\tests\TestSphere.as                                        8             26             48
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\TaskLibrary.as                             12             27             48
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\GenerateClouds.as                          10             16             47
